State,Number of CoCs,Overall Homeless ,Sheltered ES Homeless ,Sheltered TH Homeless ,Sheltered SH Homeless ,Sheltered Total Homeless ,Unsheltered Homeless ,Homeless Individuals ,Sheltered ES Homeless Individuals ,Sheltered TH Homeless Individuals ,Sheltered SH Homeless Individuals ,Sheltered Total Homeless Individuals ,Unsheltered Homeless Individuals ,Homeless People in Families ,Sheltered ES Homeless People in Families ,Sheltered TH Homeless People in Families ,Sheltered Total Homeless People in Families ,Unsheltered Homeless People in Families ,Homeless Family Households ,Sheltered ES Homeless Family Households ,Sheltered TH Homeless Family Households ,Sheltered Total Homeless Family Households ,Unsheltered Homeless Family Households ,Chronically Homeless ,Sheltered ES Chronically Homeless ,Sheltered SH Chronically Homeless ,Sheltered Total Chronically Homeless ,Unsheltered Chronically Homeless ,Chronically Homeless Individuals ,Sheltered ES Chronically Homeless Individuals ,Sheltered SH Chronically Homeless Individuals ,Sheltered Total Chronically Homeless Individuals ,Unsheltered Chronically Homeless Individuals ,Chronically Homeless People in Families ,Sheltered ES Chronically Homeless People in Families ,Sheltered Total Chronically Homeless People in Families ,Unsheltered Chronically Homeless People in Families ,Homeless Veterans ,Sheltered ES Homeless Veterans ,Sheltered TH Homeless Veterans ,Sheltered SH Homeless Veterans ,Sheltered Total Homeless Veterans ,Unsheltered Homeless Veterans ,Homeless Unaccompanied Youth (Under 25) ,Sheltered ES Homeless Unaccompanied Youth (Under 25) ,Sheltered TH Homeless Unaccompanied Youth (Under 25) ,Sheltered SH Homeless Unaccompanied Youth (Under 25) ,Sheltered Total Homeless Unaccompanied Youth (Under 25) ,Unsheltered Homeless Unaccompanied Youth (Under 25) ,Homeless Unaccompanied Youth Under 18 ,Sheltered ES Homeless Unaccompanied Youth Under 18 ,Sheltered TH Homeless Unaccompanied Youth Under 18 ,Sheltered SH Homeless Unaccompanied Youth Under 18 ,Sheltered Total Homeless Unaccompanied Youth Under 18 ,Unsheltered Homeless Unaccompanied Youth Under 18 ,Homeless Unaccompanied Youth Age 18-24 ,Sheltered ES Homeless Unaccompanied Youth Age 18-24 ,Sheltered TH Homeless Unaccompanied Youth Age 18-24 ,Sheltered SH Homeless Unaccompanied Youth Age 18-24 ,Sheltered Total Homeless Unaccompanied Youth Age 18-24 ,Unsheltered Homeless Unaccompanied Youth Age 18-24 ,Homeless Parenting Youth (Under 25) ,Sheltered ES Homeless Parenting Youth (Under 25) ,Sheltered TH Homeless Parenting Youth (Under 25) ,Sheltered Total Homeless Parenting Youth (Under 25) ,Unsheltered Homeless Parenting Youth (Under 25) ,Homeless Parenting Youth Under 18 ,Sheltered ES Homeless Parenting Youth Under 18 ,Sheltered TH Homeless Parenting Youth Under 18 ,Sheltered Total Homeless Parenting Youth Under 18 ,Unsheltered Homeless Parenting Youth Under 18 ,Homeless Parenting Youth Age 18-24 ,Sheltered ES Homeless Parenting Youth Age 18-24 ,Sheltered TH Homeless Parenting Youth Age 18-24 ,Sheltered Total Homeless Parenting Youth Age 18-24 ,Unsheltered Homeless Parenting Youth Age 18-24 ,Homeless Children of Parenting Youth ,Sheltered ES Homeless Children of Parenting Youth ,Sheltered TH Homeless Children of Parenting Youth ,Sheltered Total Homeless Children of Parenting Youth ,Unsheltered Homeless Children of Parenting Youth 
TN,10,"11,210","3,587","2,859",0,"6,446","4,764","8,462","2,926","1,797",0,"4,723","3,739","2,748",661,"1,062","1,723","1,025",955,215,345,560,395,"2,767",896,"1,871","1,028",859,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,18,"39,788","13,840","9,042",0,"22,882","16,906","26,306","9,420","3,699",0,"13,119","13,187","13,482","4,420","5,343","9,763","3,719","3,839","1,171","1,630","2,801","1,038","7,931","3,290","4,641","5,527","3,034","2,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,3,"3,011","1,551","1,147",0,"2,698",313,"1,945","1,071",561,0,"1,632",313,"1,066",480,586,"1,066",0,395,120,275,395,0,801,488,313,227,202,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,22,"9,746","4,323","3,244",0,"7,567","2,179","5,523","2,568","1,224",0,"3,792","1,731","4,223","1,755","2,020","3,775",448,"1,410",625,630,"1,255",155,"1,963",923,"1,040",848,657,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,1,559,28,44,0,72,487,537,18,32,0,50,487,22,10,12,22,0,10,4,6,10,0,487,0,487,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,2,"1,035",340,380,0,720,315,599,175,205,0,380,219,436,165,175,340,96,154,61,60,121,33,191,60,131,64,38,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,8,"23,379","6,450","10,407",0,"16,857","6,522","13,289","4,275","3,838",0,"8,113","5,176","10,090","2,175","6,569","8,744","1,346","3,722",724,"2,514","3,238",484,"2,603","1,333","1,270","1,421","1,199",222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,4,"5,648","2,366","2,719",0,"5,085",563,"2,403","1,179",892,0,"2,071",332,"3,245","1,187","1,827","3,014",231,"1,108",406,627,"1,033",75,689,468,221,466,449,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,4,"2,409","1,677",470,0,"2,147",262,"1,915","1,551",173,0,"1,724",191,494,126,297,423,71,197,55,115,170,27,"1,151","1,058",93,787,760,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,1,537,272,125,0,397,140,331,243,14,0,257,74,206,29,111,140,66,91,12,39,51,40,38,0,38,40,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,2,"1,646",847,605,0,"1,452",194,"1,067",557,355,0,912,155,579,290,250,540,39,172,83,75,158,14,439,355,84,218,189,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,8,"5,387","1,534","2,309",0,"3,843","1,544","4,086","1,159","1,644",0,"2,803","1,283","1,301",375,665,"1,040",261,483,131,245,376,107,"1,052",579,473,801,677,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,6,"3,255","1,048",972,0,"2,020","1,235","2,625",860,757,0,"1,617","1,008",630,188,215,403,227,285,76,81,157,128,893,492,401,235,219,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,3,"12,488","3,104","3,866",0,"6,970","5,518","8,428","1,782","1,594",0,"3,376","5,052","4,060","1,322","2,272","3,594",466,"1,277",404,681,"1,085",192,"3,097","1,223","1,874",736,736,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,42,"136,531","22,917","24,048",0,"46,965","89,566","109,050","16,233","12,272",0,"28,505","80,545","27,481","6,684","11,776","18,460","9,021","8,924","2,175","3,682","5,857","3,067","40,254","6,206","34,048","17,276","5,735","11,541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,3,"14,747","3,492","3,385",0,"6,877","7,870","6,260","2,104",880,0,"2,984","3,276","8,487","1,388","2,505","3,893","4,594","2,457",385,830,"1,215","1,242","1,082",449,633,"1,608",915,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,12,"4,627","2,409","1,611",0,"4,020",607,"2,773","1,503",682,0,"2,185",588,"1,854",906,929,"1,835",19,623,310,306,616,7,875,578,297,524,401,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,1,"6,044","3,463","2,203",0,"5,666",378,"4,208","2,908",922,0,"3,830",378,"1,836",555,"1,281","1,836",0,587,177,410,587,0,"2,184","1,840",344,667,641,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,1,933,446,416,0,862,71,652,333,248,0,581,71,281,113,168,281,0,85,37,48,85,0,248,221,27,127,108,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,28,"50,158","9,769","10,955",0,"20,724","29,434","32,959","5,833","6,498",0,"12,331","20,628","17,199","3,936","4,457","8,393","8,806","6,296","1,369","1,422","2,791","3,505","8,578","2,555","6,023","5,780","2,691","3,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,7,"19,095","4,420","4,445",0,"8,865","10,230","13,728","3,127","2,589",0,"5,716","8,012","5,367","1,293","1,856","3,149","2,218","1,722",432,616,"1,048",674,"2,671","1,037","1,634","3,336","1,921","1,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GU,1,725,33,70,0,103,622,254,14,39,0,53,201,471,19,31,50,421,120,5,9,14,106,50,39,11,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,2,"6,061","1,114","1,589",0,"2,703","3,358","3,326",495,596,0,"1,091","2,235","2,735",619,993,"1,612","1,123",734,187,257,444,290,778,132,646,223,223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,3,"3,346","1,018","2,069",0,"3,087",259,"1,609",671,750,0,"1,421",188,"1,737",347,"1,319","1,666",71,558,109,424,533,25,277,225,52,284,271,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,2,"1,464",630,620,0,"1,250",214,817,477,180,0,657,160,647,153,440,593,54,228,55,151,206,22,46,11,35,131,78,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,21,"14,724","5,660","5,820",0,"11,480","3,244","8,356","3,906","1,791",0,"5,697","2,659","6,368","1,754","4,029","5,783",585,"2,074",552,"1,357","1,909",165,"2,557","1,436","1,121","1,286",839,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,3,"7,395","3,127","2,796",0,"5,923","1,472","4,937","2,226","1,391",0,"3,617","1,320","2,458",901,"1,405","2,306",152,815,304,470,774,41,696,249,447,535,455,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,5,"1,738",922,578,0,"1,500",238,"1,080",561,336,0,897,183,658,361,242,603,55,208,119,76,195,13,177,132,45,313,295,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,3,"8,137","2,725","3,470",0,"6,195","1,942","4,344","2,026","1,221",0,"3,247","1,097","3,793",699,"2,249","2,948",845,"1,163",205,770,975,188,642,380,262,"1,046",944,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,9,"5,481","1,408","2,292",0,"3,700","1,781","2,894",747,"1,158",0,"1,905",989,"2,587",661,"1,134","1,795",792,851,223,380,603,248,613,177,436,432,305,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,21,"14,506","8,471","4,966",0,"13,437","1,069","7,127","3,319","2,904",0,"6,223",904,"7,379","5,152","2,062","7,214",165,"2,644","1,798",799,"2,597",47,"2,352","1,830",522,"1,302","1,262",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,16,"9,219","3,187","2,867",0,"6,054","3,165","4,806","1,926","1,409",0,"3,335","1,471","4,413","1,261","1,458","2,719","1,694","1,417",406,473,879,538,"1,489",729,760,541,499,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,3,"2,632",758,"1,830",0,"2,588",44,"1,241",539,662,0,"1,201",40,"1,391",219,"1,168","1,387",4,491,73,416,489,2,132,123,9,89,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,22,"28,248","7,463","4,318",0,"11,781","16,467","17,364","4,859","2,155",0,"7,014","10,350","10,884","2,604","2,163","4,767","6,117","3,006",841,677,"1,518","1,488","2,771","1,084","1,687",832,715,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,11,"7,644","3,101","3,169",0,"6,270","1,374","3,388","1,544",773,0,"2,317","1,071","4,256","1,557","2,396","3,953",303,"1,353",473,785,"1,258",95,"1,537","1,052",485,595,477,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,8,"7,687","3,157","2,450",0,"5,607","2,080","4,195","1,763","1,021",0,"2,784","1,411","3,492","1,394","1,429","2,823",669,"1,127",453,442,895,232,"1,226",903,323,377,312,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,3,"1,961",416,790,0,"1,206",755,"1,697",330,618,0,948,749,264,86,172,258,6,77,24,50,74,3,877,417,460,197,194,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,1,"1,417",578,429,0,"1,007",410,968,428,189,0,617,351,449,150,240,390,59,154,49,84,133,21,138,46,92,247,138,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,13,"12,411","4,863","3,162",0,"8,025","4,386","8,749","3,505","1,832",0,"5,337","3,412","3,662","1,358","1,330","2,688",974,"1,231",449,438,887,344,"1,827",964,863,"1,096",724,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,1,615,394,202,0,596,19,375,259,103,0,362,13,240,135,99,234,6,72,42,28,70,2,51,50,1,78,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,7,"3,985","1,444","1,783",0,"3,227",758,"2,244","1,052",772,0,"1,824",420,"1,741",392,"1,011","1,403",338,612,117,335,452,160,707,627,80,144,123,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,3,"2,019",896,639,0,"1,535",484,"1,172",546,239,0,785,387,847,350,400,750,97,250,91,124,215,35,437,297,140,208,115,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,20,"13,832","7,392","4,468",0,"11,860","1,972","6,848","3,856","1,565",0,"5,421","1,427","6,984","3,536","2,903","6,439",545,"2,359","1,214","1,002","2,216",143,"1,269",968,301,847,648,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,2,"3,015",958,790,0,"1,748","1,267","1,861",743,320,0,"1,063",798,"1,154",215,470,685,469,367,72,154,226,141,711,245,466,163,163,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,3,"8,726","1,525","3,338",0,"4,863","3,863","6,512","1,340","2,318",0,"3,658","2,854","2,214",185,"1,020","1,205","1,009",709,78,302,380,329,954,224,730,"1,632",912,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,29,"61,125","44,619","11,897",0,"56,516","4,609","25,771","14,702","6,602",0,"21,304","4,467","35,354","29,917","5,295","35,212",142,"11,132","9,410","1,674","11,084",48,"5,089","2,071","3,018","4,234","4,230",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,9,"12,912","6,113","4,264",0,"10,377","2,535","7,865","4,100","2,016",0,"6,116","1,749","5,047","2,013","2,248","4,261",786,"1,649",626,756,"1,382",267,"2,252","1,673",579,"1,033",964,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,8,"3,846","1,933",870,0,"2,803","1,043","2,674","1,379",526,0,"1,905",769,"1,172",554,344,898,274,377,171,125,296,81,561,331,230,354,299,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,8,"20,653","4,667","5,279",0,"9,946","10,707","11,548","3,160","2,100",0,"5,260","6,288","9,105","1,507","3,179","4,686","4,419","2,944",509,"1,064","1,573","1,371","3,346","1,502","1,844",767,523,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,17,"15,378","6,336","7,743",0,"14,079","1,299","7,734","3,757","2,784",0,"6,541","1,193","7,644","2,579","4,959","7,538",106,"2,526",839,"1,644","2,483",43,"1,622",859,763,"1,101",971,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,2,"3,012",298,512,0,810,"2,202","2,668",223,440,0,663,"2,005",344,75,72,147,197,91,22,23,45,46,"2,917","1,026","1,891",157,65,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,1,"1,196",734,408,0,"1,142",54,714,437,223,0,660,54,482,297,185,482,0,181,84,97,181,0,245,208,37,99,87,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,5,"5,660","1,680","1,406",0,"3,086","2,574","3,809","1,262",769,0,"2,031","1,778","1,851",418,637,"1,055",796,455,138,188,326,129,743,398,345,475,350,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,1,579,269,269,0,538,41,268,138,97,0,235,33,311,131,172,303,8,108,46,58,104,4,104,79,25,108,106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,10,"9,705","2,975","2,685",0,"5,660","4,045","7,242","2,194","1,635",0,"3,829","3,413","2,463",781,"1,050","1,831",632,883,269,369,638,245,"3,364","1,438","1,926",903,672,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,18,"40,190","14,876","9,204",0,"24,080","16,110","27,950","10,347","3,748",0,"14,095","13,855","12,240","4,529","5,456","9,985","2,255","3,558","1,237","1,673","2,910",648,"8,844","3,656","5,188","5,982","3,428","2,554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,3,"3,434","1,730","1,448",0,"3,178",256,"2,018","1,139",623,0,"1,762",256,"1,416",591,825,"1,416",0,456,193,263,456,0,702,446,256,218,199,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,22,"8,469","3,914","2,981",0,"6,895","1,574","4,838","2,521","1,020",0,"3,541","1,297","3,631","1,393","1,961","3,354",277,"1,166",449,611,"1,060",106,"1,678",967,711,898,710,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,1,602,60,55,0,115,487,566,28,51,0,79,487,36,32,4,36,0,18,17,1,18,0,513,26,487,19,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,2,954,311,385,0,696,258,627,181,220,0,401,226,327,130,165,295,32,120,44,65,109,11,234,115,119,32,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,7,"21,954","6,319","9,137",0,"15,456","6,498","12,156","4,173","2,658",0,"6,831","5,325","9,798","2,146","6,479","8,625","1,173","3,123",681,"2,089","2,770",353,"3,073","1,974","1,099","1,330","1,185",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,4,"5,449","2,406","2,528",0,"4,934",515,"2,285","1,194",781,0,"1,975",310,"3,164","1,212","1,747","2,959",205,"1,090",415,604,"1,019",71,687,480,207,481,464,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,4,"2,016",952,470,0,"1,422",594,"1,435",695,298,0,993,442,581,257,172,429,152,199,97,65,162,37,387,264,123,104,98,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,1,751,395,224,0,619,132,357,235,85,0,320,37,394,160,139,299,95,143,62,54,116,27,67,30,37,19,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,2,"1,992","1,009",656,0,"1,665",327,"1,239",626,363,0,989,250,753,383,293,676,77,237,118,92,210,27,0,323,245,0,245,78,259,222,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,8,"6,080","1,419","2,494",0,"3,913","2,167","4,686","1,104","1,927",0,"3,031","1,655","1,394",315,567,882,512,509,112,201,313,196,0,"1,189",652,0,652,537,"1,063",858,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,6,"2,852",652,"1,078",0,"1,730","1,122","2,181",499,798,0,"1,297",884,671,153,280,433,238,234,58,85,143,91,0,406,146,0,146,260,249,168,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,3,"14,721","4,020","4,346",0,"8,366","6,355","9,959","2,452","1,839",0,"4,291","5,668","4,762","1,568","2,507","4,075",687,"1,406",478,773,"1,251",155,0,"2,229",538,0,538,"1,691","2,343","1,216","1,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,43,"123,678","23,081","27,696",0,"50,777","72,901","97,534","16,849","15,568",0,"32,417","65,117","26,144","6,232","12,128","18,360","7,784","8,613","2,086","4,057","6,143","2,470",0,"31,412","7,001",0,"7,001","24,411","17,973","6,799","11,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,3,"15,268","4,895","4,136",0,"9,031","6,237","7,401","3,083","1,493",0,"4,576","2,825","7,867","1,812","2,643","4,455","3,412","2,224",541,812,"1,353",871,0,"1,286",510,0,510,776,"1,471",964,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,12,"4,605","2,542","1,561",0,"4,103",502,"2,773","1,613",675,0,"2,288",485,"1,832",929,886,"1,815",17,624,317,300,617,7,0,824,640,0,640,184,462,401,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,1,"6,228","3,315","2,592",0,"5,907",321,"3,934","2,632",981,0,"3,613",321,"2,294",683,"1,611","2,294",0,703,203,500,703,0,0,"1,923","1,632",0,"1,632",291,642,613,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,1,"1,130",583,500,0,"1,083",47,776,396,333,0,729,47,354,187,167,354,0,117,59,58,117,0,0,167,150,0,150,17,100,91,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,28,"55,599","10,491","11,376",0,"21,867","33,732","34,432","6,579","7,248",0,"13,827","20,605","21,167","3,912","4,128","8,040","13,127","7,751","1,320","1,293","2,613","5,138",0,"9,062","3,493",0,"3,493","5,569","7,135","2,907","4,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,7,"20,360","4,819","4,600",0,"9,419","10,941","14,365","3,291","2,474",0,"5,765","8,600","5,995","1,528","2,126","3,654","2,341","1,895",445,724,"1,169",726,0,"3,771","1,620",0,"1,620","2,151","2,760","1,373","1,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GU,1,"1,088",67,115,0,182,906,391,24,28,0,52,339,697,43,87,130,567,168,13,19,32,136,0,87,19,0,19,68,22,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,2,"5,782","1,050","2,218",0,"3,268","2,514","2,941",479,530,0,"1,009","1,932","2,841",571,"1,688","2,259",582,784,176,445,621,163,0,772,124,0,124,648,499,234,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,3,"3,380","1,180","2,041",0,"3,221",159,"1,655",771,753,0,"1,524",131,"1,725",409,"1,288","1,697",28,532,128,395,523,9,0,306,238,0,238,68,270,247,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,2,"1,939",631,846,0,"1,477",462,"1,117",432,389,0,821,296,822,199,457,656,166,280,66,154,220,60,0,210,157,0,157,53,270,194,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,21,"14,055","5,066","6,785",0,"11,851","2,204","7,475","3,523","2,119",0,"5,642","1,833","6,580","1,543","4,666","6,209",371,"2,093",503,"1,478","1,981",112,0,"2,212","1,564",0,"1,564",648,"1,028",801,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,3,"6,984","3,249","1,957",0,"5,206","1,778","4,151","1,694",993,0,"2,687","1,464","2,833","1,555",964,"2,519",314,975,518,354,872,103,0,765,505,0,505,260,740,586,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,5,"1,892","1,116",580,0,"1,696",196,"1,238",741,345,0,"1,086",152,654,375,235,610,44,205,116,75,191,14,0,238,196,0,196,42,638,578,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,3,"5,999","2,645","2,654",0,"5,299",700,"3,302","1,816",949,0,"2,765",537,"2,697",829,"1,705","2,534",163,858,241,566,807,51,0,671,491,0,491,180,675,597,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,9,"12,504","1,618","2,500",0,"4,118","8,386","10,098","1,010","1,377",0,"2,387","7,711","2,406",608,"1,123","1,731",675,764,190,365,555,209,0,"4,815",226,0,226,"4,589","1,985",441,"1,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,20,"15,482","9,359","5,117",0,"14,476","1,006","7,057","3,060","3,114",0,"6,174",883,"8,425","6,299","2,003","8,302",123,"3,035","2,163",821,"2,984",51,0,"1,937","1,490",0,"1,490",447,"1,890","1,709",181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
